時間,上游,下游,車種,車速,車流量
2024/04/29 15:50,01F0017N,01F0005N,31,49,55
2024/04/29 15:50,01F0017N,01F0005N,32,50,15
2024/04/29 15:50,01F0017N,01F0005N,41,48,5
2024/04/29 15:50,01F0017N,01F0005N,42,0,0
2024/04/29 15:50,01F0017N,01F0005N,5,0,0
2024/04/29 15:50,01F0029N,01F0017N,31,48,78
2024/04/29 15:50,01F0029N,01F0017N,32,49,22
2024/04/29 15:50,01F0029N,01F0017N,41,49,7
2024/04/29 15:50,01F0029N,01F0017N,42,63,1
2024/04/29 15:50,01F0029N,01F0017N,5,58,2
2024/04/29 15:50,01F0005S,01F0017S,31,46,47
2024/04/29 15:50,01F0005S,01F0017S,32,46,20
2024/04/29 15:50,01F0005S,01F0017S,41,49,5
2024/04/29 15:50,01F0005S,01F0017S,42,52,3
2024/04/29 15:50,01F0005S,01F0017S,5,0,0
2024/04/29 15:50,01F0061N,01F0029N,31,124,106
2024/04/29 15:50,01F0061N,01F0029N,32,123,29
2024/04/29 15:50,01F0061N,01F0029N,41,130,6
2024/04/29 15:50,01F0061N,01F0029N,42,138,3
2024/04/29 15:50,01F0061N,01F0029N,5,132,2
2024/04/29 15:50,01F0017S,01F0029S,31,47,64
2024/04/29 15:50,01F0017S,01F0029S,32,45,19
2024/04/29 15:50,01F0017S,01F0029S,41,46,4
2024/04/29 15:50,01F0017S,01F0029S,42,52,5
2024/04/29 15:50,01F0017S,01F0029S,5,57,1
2024/04/29 15:50,01F0099N,01F0061N,31,282,138
2024/04/29 15:50,01F0099N,01F0061N,32,287,42
2024/04/29 15:50,01F0099N,01F0061N,41,258,6
2024/04/29 15:50,01F0099N,01F0061N,42,242,5
2024/04/29 15:50,01F0099N,01F0061N,5,269,9
2024/04/29 15:50,01F0029S,01F0061S,31,123,103
2024/04/29 15:50,01F0029S,01F0061S,32,125,25
2024/04/29 15:50,01F0029S,01F0061S,41,137,3
2024/04/29 15:50,01F0029S,01F0061S,42,124,4
2024/04/29 15:50,01F0029S,01F0061S,5,141,1
2024/04/29 15:50,01F0147N,01F0099N,31,199,75
2024/04/29 15:50,01F0147N,01F0099N,32,205,9
2024/04/29 15:50,01F0147N,01F0099N,41,192,3
2024/04/29 15:50,01F0147N,01F0099N,42,200,5
2024/04/29 15:50,01F0147N,01F0099N,5,206,10
2024/04/29 15:50,01H0174N,01F0099N,31,293,46
2024/04/29 15:50,01H0174N,01F0099N,32,301,17
2024/04/29 15:50,01H0174N,01F0099N,41,0,0
2024/04/29 15:50,01H0174N,01F0099N,42,286,1
2024/04/29 15:50,01H0174N,01F0099N,5,326,1
2024/04/29 15:50,03F0087S,01F0099N,31,1428,4
2024/04/29 15:50,03F0087S,01F0099N,32,0,0
2024/04/29 15:50,03F0087S,01F0099N,41,0,0
2024/04/29 15:50,03F0087S,01F0099N,42,0,0
2024/04/29 15:50,03F0087S,01F0099N,5,0,0
2024/04/29 15:50,03F0116N,01F0099N,31,106,39
2024/04/29 15:50,03F0116N,01F0099N,32,104,22
2024/04/29 15:50,03F0116N,01F0099N,41,0,0
2024/04/29 15:50,03F0116N,01F0099N,42,115,3
2024/04/29 15:50,03F0116N,01F0099N,5,109,2
2024/04/29 15:50,01F0061S,01F0099S,31,151,164
2024/04/29 15:50,01F0061S,01F0099S,32,159,54
2024/04/29 15:50,01F0061S,01F0099S,41,164,6
2024/04/29 15:50,01F0061S,01F0099S,42,162,7
