時間,上游,下游,車種,車速,車流量
2024/04/29 14:50,01F0017N,01F0005N,31,48,42
2024/04/29 14:50,01F0017N,01F0005N,32,47,27
2024/04/29 14:50,01F0017N,01F0005N,41,52,3
2024/04/29 14:50,01F0017N,01F0005N,42,0,0
2024/04/29 14:50,01F0017N,01F0005N,5,0,0
2024/04/29 14:50,01F0029N,01F0017N,31,48,79
2024/04/29 14:50,01F0029N,01F0017N,32,48,42
2024/04/29 14:50,01F0029N,01F0017N,41,49,4
2024/04/29 14:50,01F0029N,01F0017N,42,48,2
2024/04/29 14:50,01F0029N,01F0017N,5,0,0
2024/04/29 14:50,01F0005S,01F0017S,31,49,63
2024/04/29 14:50,01F0005S,01F0017S,32,50,23
2024/04/29 14:50,01F0005S,01F0017S,41,50,1
2024/04/29 14:50,01F0005S,01F0017S,42,59,1
2024/04/29 14:50,01F0005S,01F0017S,5,0,0
2024/04/29 14:50,01F0061N,01F0029N,31,123,90
2024/04/29 14:50,01F0061N,01F0029N,32,125,53
2024/04/29 14:50,01F0061N,01F0029N,41,129,4
2024/04/29 14:50,01F0061N,01F0029N,42,133,4
2024/04/29 14:50,01F0061N,01F0029N,5,137,6
2024/04/29 14:50,01F0017S,01F0029S,31,49,62
2024/04/29 14:50,01F0017S,01F0029S,32,52,27
2024/04/29 14:50,01F0017S,01F0029S,41,50,2
2024/04/29 14:50,01F0017S,01F0029S,42,57,2
2024/04/29 14:50,01F0017S,01F0029S,5,58,3
2024/04/29 14:50,01F0099N,01F0061N,31,171,140
2024/04/29 14:50,01F0099N,01F0061N,32,178,72
2024/04/29 14:50,01F0099N,01F0061N,41,181,3
2024/04/29 14:50,01F0099N,01F0061N,42,208,7
2024/04/29 14:50,01F0099N,01F0061N,5,206,15
2024/04/29 14:50,01F0029S,01F0061S,31,131,99
2024/04/29 14:50,01F0029S,01F0061S,32,129,30
2024/04/29 14:50,01F0029S,01F0061S,41,142,3
2024/04/29 14:50,01F0029S,01F0061S,42,137,3
2024/04/29 14:50,01F0029S,01F0061S,5,141,6
2024/04/29 14:50,01F0147N,01F0099N,31,192,54
2024/04/29 14:50,01F0147N,01F0099N,32,196,25
2024/04/29 14:50,01F0147N,01F0099N,41,196,2
2024/04/29 14:50,01F0147N,01F0099N,42,208,7
2024/04/29 14:50,01F0147N,01F0099N,5,205,11
2024/04/29 14:50,01H0174N,01F0099N,31,289,46
2024/04/29 14:50,01H0174N,01F0099N,32,292,20
2024/04/29 14:50,01H0174N,01F0099N,41,288,1
2024/04/29 14:50,01H0174N,01F0099N,42,0,0
2024/04/29 14:50,01H0174N,01F0099N,5,0,0
2024/04/29 14:50,03F0087S,01F0099N,31,0,0
2024/04/29 14:50,03F0087S,01F0099N,32,0,0
2024/04/29 14:50,03F0087S,01F0099N,41,0,0
2024/04/29 14:50,03F0087S,01F0099N,42,0,0
2024/04/29 14:50,03F0087S,01F0099N,5,0,0
2024/04/29 14:50,03F0116N,01F0099N,31,99,45
2024/04/29 14:50,03F0116N,01F0099N,32,99,17
2024/04/29 14:50,03F0116N,01F0099N,41,0,0
2024/04/29 14:50,03F0116N,01F0099N,42,108,4
2024/04/29 14:50,03F0116N,01F0099N,5,108,10
2024/04/29 14:50,01F0061S,01F0099S,31,152,142
2024/04/29 14:50,01F0061S,01F0099S,32,154,66
2024/04/29 14:50,01F0061S,01F0099S,41,170,2
2024/04/29 14:50,01F0061S,01F0099S,42,169,11
2024/04/29 14:50,01F0061S,01F0099S,5,172,10
2024/04/29 14:50,01F0153N,01F0147N,31,25,125
2024/04/29 14:50,01F0153N,01F0147N,32,25,56
2024/04/29 14:50,01F0153N,01F0147N,41,26,5
2024/04/29 14:50,01F0153N,01F0147N,42,26,13
2024/04/29 14:50,01F0153N,01F0147N,5,26,31
2024/04/29 14:50,01F0099S,01F0147S,31,197,61
2024/04/29 14:50,01F0099S,01F0147S,32,201,24
2024/04/29 14:50,01F0099S,01F0147S,41,226,6
2024/04/29 14:50,01F0099S,01F0147S,42,225,11
2024/04/29 14:50,01F0099S,01F0147S,5,226,11
2024/04/29 14:50,03F0087S,01F0147S,31,230,7
2024/04/29 14:50,03F0087S,01F0147S,32,249,6
2024/04/29 14:50,03F0087S,01F0147S,41,0,0
2024/04/29 14:50,03F0087S,01F0147S,42,246,3
2024/04/29 14:50,03F0087S,01F0147S,5,279,7
2024/04/29 14:50,03F0116N,01F0147S,31,250,28
2024/04/29 14:50,03F0116N,01F0147S,32,254,10
2024/04/29 14:50,03F0116N,01F0147S,41,0,0
2024/04/29 14:50,03F0116N,01F0147S,42,1822,2
2024/04/29 14:50,03F0116N,01F0147S,5,278,1
2024/04/29 14:50,01F0213N,01F0153N,31,373,82
2024/04/29 14:50,01F0213N,01F0153N,32,377,35
2024/04/29 14:50,01F0213N,01F0153N,41,382,3
2024/04/29 14:50,01F0213N,01F0153N,42,385,13
2024/04/29 14:50,01F0213N,01F0153N,5,387,24
2024/04/29 14:50,01F0147S,01F0153S,31,24,123
2024/04/29 14:50,01F0147S,01F0153S,32,25,54
2024/04/29 14:50,01F0147S,01F0153S,41,30,4
2024/04/29 14:50,01F0147S,01F0153S,42,27,23
2024/04/29 14:50,01F0147S,01F0153S,5,27,26
2024/04/29 14:50,01F0153S,01F0182S,31,127,123
2024/04/29 14:50,01F0153S,01F0182S,32,130,49
2024/04/29 14:50,01F0153S,01F0182S,41,126,2
2024/04/29 14:50,01F0153S,01F0182S,42,132,18
2024/04/29 14:50,01F0153S,01F0182S,5,134,24
2024/04/29 14:50,01F0233N,01F0213N,31,234,74
2024/04/29 14:50,01F0233N,01F0213N,32,234,30
2024/04/29 14:50,01F0233N,01F0213N,41,239,1
2024/04/29 14:50,01F0233N,01F0213N,42,234,16
2024/04/29 14:50,01F0233N,01F0213N,5,238,29
2024/04/29 14:50,01F0256N,01F0233N,31,145,174
2024/04/29 14:50,01F0256N,01F0233N,32,153,57
2024/04/29 14:50,01F0256N,01F0233N,41,164,4
2024/04/29 14:50,01F0256N,01F0233N,42,167,10
2024/04/29 14:50,01F0256N,01F0233N,5,186,24
2024/04/29 14:50,01F0182S,01F0248S,31,404,132
2024/04/29 14:50,01F0182S,01F0248S,32,391,49
2024/04/29 14:50,01F0182S,01F0248S,41,418,2
2024/04/29 14:50,01F0182S,01F0248S,42,407,21
2024/04/29 14:50,01F0182S,01F0248S,5,408,23
2024/04/29 14:50,01F0293N,01F0256N,31,150,183
2024/04/29 14:50,01F0293N,01F0256N,32,151,51
2024/04/29 14:50,01F0293N,01F0256N,41,159,12
2024/04/29 14:50,01F0293N,01F0256N,42,162,17
2024/04/29 14:50,01F0293N,01F0256N,5,158,18
2024/04/29 14:50,01F0248S,01F0264S,31,68,207
2024/04/29 14:50,01F0248S,01F0264S,32,70,71
2024/04/29 14:50,01F0248S,01F0264S,41,64,3
2024/04/29 14:50,01F0248S,01F0264S,42,79,27
2024/04/29 14:50,01F0248S,01F0264S,5,70,18
2024/04/29 14:50,01F0340N,01F0293N,31,176,163
2024/04/29 14:50,01F0340N,01F0293N,32,181,41
2024/04/29 14:50,01F0340N,01F0293N,41,196,10
2024/04/29 14:50,01F0340N,01F0293N,42,204,10
