時間,上游,下游,車種,車速,車流量
2024/04/29 03:20,01F0017N,01F0005N,31,47,7
2024/04/29 03:20,01F0017N,01F0005N,32,0,0
2024/04/29 03:20,01F0017N,01F0005N,41,0,0
2024/04/29 03:20,01F0017N,01F0005N,42,0,0
2024/04/29 03:20,01F0017N,01F0005N,5,0,0
2024/04/29 03:20,01F0029N,01F0017N,31,44,10
2024/04/29 03:20,01F0029N,01F0017N,32,0,0
2024/04/29 03:20,01F0029N,01F0017N,41,0,0
2024/04/29 03:20,01F0029N,01F0017N,42,0,0
2024/04/29 03:20,01F0029N,01F0017N,5,0,0
2024/04/29 03:20,01F0005S,01F0017S,31,46,6
2024/04/29 03:20,01F0005S,01F0017S,32,45,2
2024/04/29 03:20,01F0005S,01F0017S,41,0,0
2024/04/29 03:20,01F0005S,01F0017S,42,0,0
2024/04/29 03:20,01F0005S,01F0017S,5,0,0
2024/04/29 03:20,01F0061N,01F0029N,31,123,9
2024/04/29 03:20,01F0061N,01F0029N,32,109,1
2024/04/29 03:20,01F0061N,01F0029N,41,0,0
2024/04/29 03:20,01F0061N,01F0029N,42,117,1
2024/04/29 03:20,01F0061N,01F0029N,5,0,0
2024/04/29 03:20,01F0017S,01F0029S,31,48,7
2024/04/29 03:20,01F0017S,01F0029S,32,47,2
2024/04/29 03:20,01F0017S,01F0029S,41,0,0
2024/04/29 03:20,01F0017S,01F0029S,42,64,1
2024/04/29 03:20,01F0017S,01F0029S,5,0,0
2024/04/29 03:20,01F0099N,01F0061N,31,135,16
2024/04/29 03:20,01F0099N,01F0061N,32,134,2
2024/04/29 03:20,01F0099N,01F0061N,41,0,0
2024/04/29 03:20,01F0099N,01F0061N,42,0,0
2024/04/29 03:20,01F0099N,01F0061N,5,214,4
2024/04/29 03:20,01F0029S,01F0061S,31,112,11
2024/04/29 03:20,01F0029S,01F0061S,32,129,1
2024/04/29 03:20,01F0029S,01F0061S,41,0,0
2024/04/29 03:20,01F0029S,01F0061S,42,148,1
2024/04/29 03:20,01F0029S,01F0061S,5,131,1
2024/04/29 03:20,01F0147N,01F0099N,31,170,11
2024/04/29 03:20,01F0147N,01F0099N,32,192,2
2024/04/29 03:20,01F0147N,01F0099N,41,0,0
2024/04/29 03:20,01F0147N,01F0099N,42,191,4
2024/04/29 03:20,01F0147N,01F0099N,5,202,2
2024/04/29 03:20,01H0174N,01F0099N,31,271,3
2024/04/29 03:20,01H0174N,01F0099N,32,288,1
2024/04/29 03:20,01H0174N,01F0099N,41,0,0
2024/04/29 03:20,01H0174N,01F0099N,42,0,0
2024/04/29 03:20,01H0174N,01F0099N,5,0,0
2024/04/29 03:20,03F0087S,01F0099N,31,0,0
2024/04/29 03:20,03F0087S,01F0099N,32,0,0
2024/04/29 03:20,03F0087S,01F0099N,41,0,0
2024/04/29 03:20,03F0087S,01F0099N,42,0,0
2024/04/29 03:20,03F0087S,01F0099N,5,0,0
2024/04/29 03:20,03F0116N,01F0099N,31,98,3
2024/04/29 03:20,03F0116N,01F0099N,32,0,0
2024/04/29 03:20,03F0116N,01F0099N,41,0,0
2024/04/29 03:20,03F0116N,01F0099N,42,0,0
2024/04/29 03:20,03F0116N,01F0099N,5,96,4
2024/04/29 03:20,01F0061S,01F0099S,31,141,13
2024/04/29 03:20,01F0061S,01F0099S,32,155,7
2024/04/29 03:20,01F0061S,01F0099S,41,0,0
2024/04/29 03:20,01F0061S,01F0099S,42,0,0
2024/04/29 03:20,01F0061S,01F0099S,5,159,4
2024/04/29 03:20,01F0153N,01F0147N,31,22,16
2024/04/29 03:20,01F0153N,01F0147N,32,22,5
2024/04/29 03:20,01F0153N,01F0147N,41,0,0
2024/04/29 03:20,01F0153N,01F0147N,42,23,4
2024/04/29 03:20,01F0153N,01F0147N,5,23,4
2024/04/29 03:20,01F0099S,01F0147S,31,193,9
2024/04/29 03:20,01F0099S,01F0147S,32,193,2
2024/04/29 03:20,01F0099S,01F0147S,41,0,0
2024/04/29 03:20,01F0099S,01F0147S,42,192,2
2024/04/29 03:20,01F0099S,01F0147S,5,210,2
2024/04/29 03:20,03F0087S,01F0147S,31,226,2
2024/04/29 03:20,03F0087S,01F0147S,32,0,0
2024/04/29 03:20,03F0087S,01F0147S,41,0,0
2024/04/29 03:20,03F0087S,01F0147S,42,0,0
2024/04/29 03:20,03F0087S,01F0147S,5,0,0
2024/04/29 03:20,03F0116N,01F0147S,31,184,1
2024/04/29 03:20,03F0116N,01F0147S,32,0,0
2024/04/29 03:20,03F0116N,01F0147S,41,0,0
2024/04/29 03:20,03F0116N,01F0147S,42,248,1
2024/04/29 03:20,03F0116N,01F0147S,5,0,0
2024/04/29 03:20,01F0213N,01F0153N,31,226,12
2024/04/29 03:20,01F0213N,01F0153N,32,238,2
2024/04/29 03:20,01F0213N,01F0153N,41,0,0
2024/04/29 03:20,01F0213N,01F0153N,42,245,3
2024/04/29 03:20,01F0213N,01F0153N,5,250,5
2024/04/29 03:20,01F0147S,01F0153S,31,22,19
2024/04/29 03:20,01F0147S,01F0153S,32,22,3
2024/04/29 03:20,01F0147S,01F0153S,41,0,0
2024/04/29 03:20,01F0147S,01F0153S,42,24,3
2024/04/29 03:20,01F0147S,01F0153S,5,22,3
2024/04/29 03:20,01F0153S,01F0182S,31,108,10
2024/04/29 03:20,01F0153S,01F0182S,32,108,2
2024/04/29 03:20,01F0153S,01F0182S,41,0,0
2024/04/29 03:20,01F0153S,01F0182S,42,117,4
2024/04/29 03:20,01F0153S,01F0182S,5,113,1
2024/04/29 03:20,01F0233N,01F0213N,31,73,15
2024/04/29 03:20,01F0233N,01F0213N,32,0,0
2024/04/29 03:20,01F0233N,01F0213N,41,0,0
2024/04/29 03:20,01F0233N,01F0213N,42,73,2
2024/04/29 03:20,01F0233N,01F0213N,5,86,4
2024/04/29 03:20,01F0256N,01F0233N,31,81,22
2024/04/29 03:20,01F0256N,01F0233N,32,90,3
2024/04/29 03:20,01F0256N,01F0233N,41,0,0
2024/04/29 03:20,01F0256N,01F0233N,42,93,3
2024/04/29 03:20,01F0256N,01F0233N,5,90,3
2024/04/29 03:20,01F0182S,01F0248S,31,239,8
2024/04/29 03:20,01F0182S,01F0248S,32,200,1
2024/04/29 03:20,01F0182S,01F0248S,41,0,0
2024/04/29 03:20,01F0182S,01F0248S,42,277,5
2024/04/29 03:20,01F0182S,01F0248S,5,308,1
2024/04/29 03:20,01F0293N,01F0256N,31,133,16
2024/04/29 03:20,01F0293N,01F0256N,32,129,7
2024/04/29 03:20,01F0293N,01F0256N,41,0,0
2024/04/29 03:20,01F0293N,01F0256N,42,147,5
2024/04/29 03:20,01F0293N,01F0256N,5,149,4
2024/04/29 03:20,01F0248S,01F0264S,31,54,23
2024/04/29 03:20,01F0248S,01F0264S,32,0,0
2024/04/29 03:20,01F0248S,01F0264S,41,0,0
2024/04/29 03:20,01F0248S,01F0264S,42,59,5
2024/04/29 03:20,01F0248S,01F0264S,5,66,2
2024/04/29 03:20,01F0340N,01F0293N,31,161,15
2024/04/29 03:20,01F0340N,01F0293N,32,168,2
2024/04/29 03:20,01F0340N,01F0293N,41,159,1
2024/04/29 03:20,01F0340N,01F0293N,42,188,5
2024/04/29 03:20,01F0340N,01F0293N,5,182,2
2024/04/29 03:20,01F0264S,01F0293S,31,98,24
2024/04/29 03:20,01F0264S,01F0293S,32,0,0
2024/04/29 03:20,01F0264S,01F0293S,41,0,0
2024/04/29 03:20,01F0264S,01F0293S,42,104,3
2024/04/29 03:20,01F0264S,01F0293S,5,109,3
2024/04/29 03:20,01F0293S,01F0339S,31,164,27
2024/04/29 03:20,01F0293S,01F0339S,32,172,2
2024/04/29 03:20,01F0293S,01F0339S,41,167,3
2024/04/29 03:20,01F0293S,01F0339S,42,172,3
2024/04/29 03:20,01F0293S,01F0339S,5,171,2
2024/04/29 03:20,01H0305S,01F0339S,31,124,5
2024/04/29 03:20,01H0305S,01F0339S,32,0,0
2024/04/29 03:20,01H0305S,01F0339S,41,0,0
2024/04/29 03:20,01H0305S,01F0339S,42,0,0
2024/04/29 03:20,01H0305S,01F0339S,5,0,0
2024/04/29 03:20,01F0376N,01F0340N,31,128,27
2024/04/29 03:20,01F0376N,01F0340N,32,134,12
2024/04/29 03:20,01F0376N,01F0340N,41,0,0
2024/04/29 03:20,01F0376N,01F0340N,42,156,5
2024/04/29 03:20,01F0376N,01F0340N,5,150,1
2024/04/29 03:20,01H0447N,01F0340N,31,371,11
2024/04/29 03:20,01H0447N,01F0340N,32,428,1
2024/04/29 03:20,01H0447N,01F0340N,41,0,0
2024/04/29 03:20,01H0447N,01F0340N,42,0,0
2024/04/29 03:20,01H0447N,01F0340N,5,0,0
2024/04/29 03:20,01F0413N,01F0376N,31,132,16
2024/04/29 03:20,01F0413N,01F0376N,32,135,8
2024/04/29 03:20,01F0413N,01F0376N,41,0,0
2024/04/29 03:20,01F0413N,01F0376N,42,144,3
2024/04/29 03:20,01F0413N,01F0376N,5,148,1
2024/04/29 03:20,01F0339S,01F0376S,31,132,22
2024/04/29 03:20,01F0339S,01F0376S,32,142,5
2024/04/29 03:20,01F0339S,01F0376S,41,141,3
2024/04/29 03:20,01F0339S,01F0376S,42,161,8
2024/04/29 03:20,01F0339S,01F0376S,5,167,2
2024/04/29 03:20,01F0467N,01F0413N,31,186,14
2024/04/29 03:20,01F0467N,01F0413N,32,202,6
2024/04/29 03:20,01F0467N,01F0413N,41,229,2
2024/04/29 03:20,01F0467N,01F0413N,42,275,3
2024/04/29 03:20,01F0467N,01F0413N,5,283,2
2024/04/29 03:20,01F0376S,01F0413S,31,135,19
2024/04/29 03:20,01F0376S,01F0413S,32,142,6
2024/04/29 03:20,01F0376S,01F0413S,41,0,0
2024/04/29 03:20,01F0376S,01F0413S,42,206,1
2024/04/29 03:20,01F0376S,01F0413S,5,0,0
