時間,上游,下游,車種,車速,車流量
2024/04/29 04:25,01F0017N,01F0005N,31,51,4
2024/04/29 04:25,01F0017N,01F0005N,32,50,1
2024/04/29 04:25,01F0017N,01F0005N,41,58,1
2024/04/29 04:25,01F0017N,01F0005N,42,0,0
2024/04/29 04:25,01F0017N,01F0005N,5,0,0
2024/04/29 04:25,01F0029N,01F0017N,31,47,5
2024/04/29 04:25,01F0029N,01F0017N,32,45,2
2024/04/29 04:25,01F0029N,01F0017N,41,54,1
2024/04/29 04:25,01F0029N,01F0017N,42,0,0
2024/04/29 04:25,01F0029N,01F0017N,5,0,0
2024/04/29 04:25,01F0005S,01F0017S,31,48,7
2024/04/29 04:25,01F0005S,01F0017S,32,55,4
2024/04/29 04:25,01F0005S,01F0017S,41,0,0
2024/04/29 04:25,01F0005S,01F0017S,42,0,0
2024/04/29 04:25,01F0005S,01F0017S,5,0,0
2024/04/29 04:25,01F0061N,01F0029N,31,122,8
2024/04/29 04:25,01F0061N,01F0029N,32,0,0
2024/04/29 04:25,01F0061N,01F0029N,41,135,1
2024/04/29 04:25,01F0061N,01F0029N,42,0,0
2024/04/29 04:25,01F0061N,01F0029N,5,0,0
2024/04/29 04:25,01F0017S,01F0029S,31,49,11
2024/04/29 04:25,01F0017S,01F0029S,32,52,2
2024/04/29 04:25,01F0017S,01F0029S,41,0,0
2024/04/29 04:25,01F0017S,01F0029S,42,50,1
2024/04/29 04:25,01F0017S,01F0029S,5,0,0
2024/04/29 04:25,01F0099N,01F0061N,31,144,15
2024/04/29 04:25,01F0099N,01F0061N,32,155,4
2024/04/29 04:25,01F0099N,01F0061N,41,0,0
2024/04/29 04:25,01F0099N,01F0061N,42,231,4
2024/04/29 04:25,01F0099N,01F0061N,5,165,1
2024/04/29 04:25,01F0029S,01F0061S,31,115,12
2024/04/29 04:25,01F0029S,01F0061S,32,117,5
2024/04/29 04:25,01F0029S,01F0061S,41,159,1
2024/04/29 04:25,01F0029S,01F0061S,42,130,1
2024/04/29 04:25,01F0029S,01F0061S,5,0,0
2024/04/29 04:25,01F0147N,01F0099N,31,179,11
2024/04/29 04:25,01F0147N,01F0099N,32,182,1
2024/04/29 04:25,01F0147N,01F0099N,41,0,0
2024/04/29 04:25,01F0147N,01F0099N,42,195,4
2024/04/29 04:25,01F0147N,01F0099N,5,0,0
2024/04/29 04:25,01H0174N,01F0099N,31,267,5
2024/04/29 04:25,01H0174N,01F0099N,32,263,1
2024/04/29 04:25,01H0174N,01F0099N,41,0,0
