時間,上游,下游,車種,車速,車流量
2024/04/29 13:25,01F0017N,01F0005N,31,48,71
2024/04/29 13:25,01F0017N,01F0005N,32,46,12
2024/04/29 13:25,01F0017N,01F0005N,41,46,4
2024/04/29 13:25,01F0017N,01F0005N,42,0,0
2024/04/29 13:25,01F0017N,01F0005N,5,0,0
2024/04/29 13:25,01F0029N,01F0017N,31,47,75
2024/04/29 13:25,01F0029N,01F0017N,32,47,24
2024/04/29 13:25,01F0029N,01F0017N,41,47,4
2024/04/29 13:25,01F0029N,01F0017N,42,55,5
2024/04/29 13:25,01F0029N,01F0017N,5,0,0
2024/04/29 13:25,01F0005S,01F0017S,31,48,58
2024/04/29 13:25,01F0005S,01F0017S,32,51,26
2024/04/29 13:25,01F0005S,01F0017S,41,48,1
2024/04/29 13:25,01F0005S,01F0017S,42,0,0
2024/04/29 13:25,01F0005S,01F0017S,5,0,0
2024/04/29 13:25,01F0061N,01F0029N,31,122,95
2024/04/29 13:25,01F0061N,01F0029N,32,126,29
2024/04/29 13:25,01F0061N,01F0029N,41,133,4
2024/04/29 13:25,01F0061N,01F0029N,42,136,3
2024/04/29 13:25,01F0061N,01F0029N,5,131,1
2024/04/29 13:25,01F0017S,01F0029S,31,48,71
2024/04/29 13:25,01F0017S,01F0029S,32,51,37
2024/04/29 13:25,01F0017S,01F0029S,41,46,1
2024/04/29 13:25,01F0017S,01F0029S,42,40,1
2024/04/29 13:25,01F0017S,01F0029S,5,58,2
2024/04/29 13:25,01F0099N,01F0061N,31,163,141
2024/04/29 13:25,01F0099N,01F0061N,32,164,51
2024/04/29 13:25,01F0099N,01F0061N,41,162,4
2024/04/29 13:25,01F0099N,01F0061N,42,226,8
2024/04/29 13:25,01F0099N,01F0061N,5,228,10
2024/04/29 13:25,01F0029S,01F0061S,31,125,94
2024/04/29 13:25,01F0029S,01F0061S,32,127,40
2024/04/29 13:25,01F0029S,01F0061S,41,130,3
2024/04/29 13:25,01F0029S,01F0061S,42,137,3
2024/04/29 13:25,01F0029S,01F0061S,5,151,3
2024/04/29 13:25,01F0147N,01F0099N,31,197,60
2024/04/29 13:25,01F0147N,01F0099N,32,195,27
2024/04/29 13:25,01F0147N,01F0099N,41,204,1
2024/04/29 13:25,01F0147N,01F0099N,42,202,3
2024/04/29 13:25,01F0147N,01F0099N,5,211,16
2024/04/29 13:25,01H0174N,01F0099N,31,295,47
2024/04/29 13:25,01H0174N,01F0099N,32,300,13
2024/04/29 13:25,01H0174N,01F0099N,41,294,1
